environment,real_time,size,position,factor
xsb,0.0002298355102539065,50,1,
xsb,0.000359058380126953,100,2,156.22406639004126
xsb,0.00046241283416748047,150,3,128.78486055776898
xsb,0.0007264614105224609,200,4,157.10234596545502
xsb,0.0010445117950439475,250,5,143.7807679684939
xsb,0.00141441822052002,300,6,135.4142889751196
neo4j,0.001531398499992065,100,7,108.27055801282286
neo4j,0.0015877939997608337,350,8,103.6826142750604
neo4j,0.001635281000062605,250,9,102.99075322799584
xsb,0.001777052879333495,400,10,108.66957295201634
neo4j,0.0017997654999817314,300,11,101.27810606608145
xsb,0.0018075704574585,350,12,100.43366524565826
neo4j,0.0018715364999479789,400,13,103.5387855685259
neo4j,0.001896867500136068,150,14,101.35348683762209
duckdb,0.0073329765000380576,100,15,386.5834856420937
duckdb,0.00761070299995481,300,16,103.78736383398079
duckdb,0.007661214000108885,50,17,100.66368376422486
duckdb,0.0076949120000335824,350,18,100.43985195980976
postgres,0.007741365500010033,100,19,100.60369111402767
duckdb,0.007809071500105347,150,20,100.87460022518282
postgres,0.008155511499921886,50,21,104.43637889359658
duckdb,0.008266113999752633,400,22,101.35616876797742
duckdb,0.008462177500177859,200,23,102.37189446493349
duckdb,0.008809196000129305,250,24,104.10081802165165
postgres,0.008853318999967996,150,25,100.5008743117765
neo4j,0.0157547959997828,200,26,177.95355617299853
mariadb,0.024639255500233048,50,27,156.39209482987107
neo4j,0.02468771650023882,50,28,100.19668207915338
mariadb,0.030561565999960294,100,29,123.79259944784546
postgres,0.03465371800007233,350,30,113.38986359572462
postgres,0.03519207850001749,300,31,101.55354325889081
postgres,0.037017531000060444,250,32,105.1871119236167
postgres,0.03886313999998947,400,33,104.98577012044919
mariadb,0.04321618499989199,150,34,111.20096060149463
postgres,0.06269407400009186,200,35,145.0708201111425
mariadb,0.06271653349995177,300,36,100.03582395978906
mariadb,0.06708037449993753,250,37,106.95803922260647
mariadb,0.07370030799984306,400,38,109.86865912609312
mariadb,0.08422548849989653,350,39,114.28105361523846
mariadb,0.17877250349988572,200,40,212.2546353650479
cockroachdb,0.26129333449989645,50,41,146.15968864589038
cockroachdb,0.3675711494997813,300,42,140.67375664338923
cockroachdb,0.3692515529996854,400,43,100.4571641441911
cockroachdb,0.3838289420004912,350,44,103.94782063403218
cockroachdb,0.3841048734998367,250,45,100.07188918529889
cockroachdb,0.3950306735000595,200,46,102.84448356530093
cockroachdb,0.3994999295005073,100,47,101.1313693594599
cockroachdb,0.47094956750015626,150,48,117.88476861284609
