environment,real_time,size,position,factor
xsb,0.0001475811004638675,50,1,
xsb,0.0003163814544677735,100,2,214.3780290791595
xsb,0.000480055809020996,150,3,151.73323285606625
xsb,0.0005984306335449221,200,4,124.65855475540111
xsb,0.0007309913635253911,250,5,122.15139442231077
xsb,0.001134037971496581,300,6,155.13698630136963
xsb,0.001178503036499025,350,7,103.92095027856641
neo4j,0.0016102044999115606,300,8,136.6313407808426
xsb,0.001627445220947265,400,9,101.07071623738794
neo4j,0.0017146125001090695,250,10,105.35608068645581
neo4j,0.0017157140000563231,350,11,100.06424191747018
neo4j,0.0017469775000336085,150,12,101.82218598066221
neo4j,0.0018590799998037255,400,13,106.41694010185938
neo4j,0.0023224010001285933,100,14,124.92205824245237
postgres,0.0071177375000388565,50,15,306.4818478654092
duckdb,0.007583210999882795,150,16,106.53962723184716
duckdb,0.007625469999993584,350,17,100.55727052974581
postgres,0.00774291400000493,100,18,101.54015424638017
duckdb,0.007754570500082991,100,19,100.15054409848867
duckdb,0.007779775000244626,50,20,100.32502767447102
duckdb,0.007935390000056941,300,21,102.00025064744702
duckdb,0.008017065999865736,250,22,101.02926257951037
duckdb,0.008689118499887627,400,23,108.38277369842217
postgres,0.008905644500032395,150,24,102.49192136288126
duckdb,0.009008713499952137,200,25,101.1573446471995
neo4j,0.014311085499912224,200,26,158.85825983907978
neo4j,0.016342413999836936,50,27,114.19409100684341
mariadb,0.025460154000029434,50,28,155.791879952885
postgres,0.03124527800002852,300,29,122.72226633033092
mariadb,0.032016210500160014,100,30,102.46735682790464
postgres,0.03224447850004708,200,31,100.71297632143543
postgres,0.03339918700010003,250,32,103.58110459144582
postgres,0.03469987400001173,350,33,103.89436724884294
postgres,0.03697378099991511,400,34,106.5530699042383
mariadb,0.038832569999840416,150,35,105.02731651904786
mariadb,0.0479993960000229,200,36,123.6060245310062
mariadb,0.05824723250020725,250,37,121.3499280286349
mariadb,0.06492598099998759,300,38,111.46620742840713
mariadb,0.07392257500009691,350,39,113.85669320901141
mariadb,0.07461219349988824,400,40,100.93289296238723
cockroachdb,0.2893952925001031,50,41,387.8659491501702
cockroachdb,0.3055191825001202,400,42,105.57157991780788
cockroachdb,0.3201741634998143,300,43,104.79674660025262
cockroachdb,0.34149354500004847,250,44,106.6586826579611
cockroachdb,0.4084637430000839,150,45,119.61097039184911
cockroachdb,0.42099774200005413,350,46,103.06857076417862
cockroachdb,0.43775357699996675,100,47,103.9800296600903
cockroachdb,0.6956673899994712,200,48,158.91757978702344
