environment,cpu_time,size,position,factor
postgres,2.300000000000635e-05,300,1,
postgres,2.5600000000003397e-05,150,2,111.304347826071
postgres,2.8400000000028402e-05,400,3,110.93750000009624
postgres,2.8999999999990144e-05,350,4,102.1126760562012
postgres,2.9800000000002046e-05,100,5,102.75862068969714
mariadb,3.799999999999359e-05,200,6,127.51677852345968
mariadb,3.9199999999983694e-05,150,7,103.15789473681659
mariadb,4.00000000000178e-05,50,8,102.04081632661845
mariadb,4.0600000000012845e-05,100,9,101.49999999998695
postgres,4.3199999999987694e-05,200,10,106.40394088663554
postgres,4.540000000001765e-05,50,11,105.0925925926634
postgres,5.379999999999274e-05,250,12,118.50220264310975
xsb,6.62000000000003e-05,50,13,123.04832713756362
mariadb,7.360000000001809e-05,250,14,111.17824773416581
mariadb,8.20000000000154e-05,400,15,111.41304347825441
mariadb,8.660000000002555e-05,300,16,105.6097560975723
mariadb,9.080000000001309e-05,350,17,104.84988452654306
xsb,0.0001242000000000002,100,18,136.7841409691435
cockroachdb,0.0001555999999999891,300,19,125.28180354266412
xsb,0.00018199999999999998,150,20,116.96658097687194
cockroachdb,0.00020919999999999828,400,21,114.94505494505401
cockroachdb,0.00021379999999999734,250,22,102.1988527724661
cockroachdb,0.00023380000000000623,350,23,109.35453695042523
cockroachdb,0.00023779999999998803,50,24,101.71086398630527
xsb,0.0002443999999999994,200,25,102.77544154752385
cockroachdb,0.00025160000000000736,200,26,102.945990180036
cockroachdb,0.0002665999999999946,100,27,105.96184419713308
cockroachdb,0.0002725999999999895,150,28,102.25056264065829
xsb,0.0003127999999999992,250,29,114.74688187821396
xsb,0.0003962000000000002,300,30,126.662404092072
xsb,0.0004736000000000004,350,31,119.53558808682487
xsb,0.0005254000000000004,400,32,110.9375
duckdb,0.0010007999999999905,100,33,190.4834411876646
duckdb,0.0010898000000000075,150,34,108.89288569144864
duckdb,0.0010917999999999872,50,35,100.18351991190858
duckdb,0.00117560000000001,300,36,107.67539842462206
duckdb,0.0011840000000000184,350,37,100.71452875127666
duckdb,0.0012319999999999998,200,38,104.05405405405241
duckdb,0.0012496000000000063,250,39,101.42857142857196
duckdb,0.0013820000000000054,400,40,110.59539052496787
