environment,real_time,size,position,factor
xsb,0.00013160705566406242,100,1,
xsb,0.0002657890319824216,200,2,201.95652173913032
xsb,0.0004182338714599612,300,3,157.3555794761395
xsb,0.000565528869628906,400,4,135.21833314331303
xsb,0.0007013320922851561,500,5,124.0134907251265
xsb,0.0008282661437988281,600,6,118.09899374490075
duckdb,0.0008313664002344012,100,7,100.37430679242227
duckdb,0.0008433750015683472,200,8,101.44444150383755
xsb,0.0009418010711669924,700,9,111.67049881910316
duckdb,0.0009467917960137128,300,10,100.52991284460278
duckdb,0.0009822249878197909,400,11,103.74244812378632
duckdb,0.0010157416225410997,500,12,103.41231745648261
duckdb,0.001061042002402246,600,13,104.45983297876653
xsb,0.001119995117187502,800,14,105.55615278676844
duckdb,0.0011237583821639419,800,15,100.33600726634326
duckdb,0.0011938000097870827,700,16,106.23280135079096
duckdb,0.0012293083826079964,900,17,102.97439877113477
duckdb,0.0012508417945355176,1000,18,101.7516688434059
xsb,0.00125598907470703,900,19,100.41150529139648
xsb,0.0013750076293945301,1000,20,109.47608200455583
postgres,0.0069630665821023285,100,21,506.4020324867899
postgres,0.007276491587981581,200,22,104.50124958857742
postgres,0.008360791800078005,300,23,114.9014150430317
postgres,0.00947880019666627,400,24,113.37203967425471
postgres,0.009971058194059879,500,25,105.1932521751723
postgres,0.010405541583895683,600,26,104.3574451314971
postgres,0.011287883610930294,700,27,108.47953967528403
postgres,0.012228208384476602,900,28,108.33039040760282
postgres,0.012374483398161829,1000,29,101.19620969062744
postgres,0.014264683192595839,800,30,115.27497943643282
mariadb,0.032983300369232894,100,31,231.22350439828244
mariadb,0.03555944999679923,200,32,107.81046650495108
mariadb,0.04184993321541697,300,33,117.69004644105561
mariadb,0.043750550015829504,400,34,104.54150497834576
mariadb,0.04649294998962432,600,35,106.26826399394427
mariadb,0.046860975003801285,700,36,100.79157165604484
mariadb,0.048190999985672535,500,37,102.83823582792155
mariadb,0.04994222482200712,800,38,103.63392508322143
mariadb,0.052143349987454714,900,39,104.40734303145756
mariadb,0.053783433395437896,1000,40,103.14533571083902
cockroachdb,0.21687996679684146,200,41,403.2467864263162
cockroachdb,0.23531145800370723,500,42,108.49847566793993
cockroachdb,0.23581197479506955,900,43,100.21270396078819
cockroachdb,0.24046079999534414,1000,44,101.97141184382797
cockroachdb,0.2406368170166388,600,45,100.07319988176786
cockroachdb,0.2430548916105181,100,46,101.00486476835009
cockroachdb,0.2434614999918267,700,47,100.16729076243409
cockroachdb,0.2458181500202045,400,48,100.96797646792486
cockroachdb,0.2504380083992146,300,49,101.87938050084193
cockroachdb,0.26185941679868846,800,50,104.56057308252802
