environment,real_time,size,position,factor
clingo,0.0,400,1,
clingo,0.0,200,2,
clingo,0.0,700,3,
clingo,0.0,500,4,
clingo,0.0,100,5,
clingo,0.0,600,6,
clingo,0.0,300,7,
xsb,0.0001272678375244142,100,8,inf
xsb,0.0002475738525390624,200,9,194.52978643686748
xsb,0.00035247802734374997,300,10,142.37288135593224
xsb,0.0004596233367919922,400,11,130.39772727272728
xsb,0.0005787849426269534,500,12,125.925925925926
xsb,0.000677824020385742,600,13,117.11155050255387
xsb,0.0008137702941894531,700,14,120.0562785789659
xsb,0.0009215354919433593,800,15,113.242704793156
xsb,0.0010119915008544916,900,16,109.81579219704021
xsb,0.0011301517486572241,1000,17,111.67601187391021
clingo,0.0019999980926513673,1000,18,176.96721657314077
clingo,0.0019999980926513673,800,19,100.0
clingo,0.0019999980926513673,900,20,100.0
souffle,0.004330174,100,21,216.50890647898336
souffle,0.007034884,200,22,162.46192416286274
souffle,0.01128214,300,23,160.37421512565098
souffle,0.0139574,400,24,123.71234535292064
souffle,0.016500340000000002,500,25,118.21929585739466
souffle,0.01841396,600,26,111.59745799177469
souffle,0.021593519999999998,700,27,117.26711690478311
souffle,0.0242257,800,28,112.18967542114487
souffle,0.025987119999999996,900,29,107.27087349385155
souffle,0.02896788,1000,30,111.47014367117252
