environment,cpu_time,size,position,factor
clingo,0.0,600,1,
clingo,0.0,200,2,
clingo,0.0,1000,3,
clingo,0.0,500,4,
clingo,0.0,700,5,
clingo,0.0,300,6,
clingo,0.0,100,7,
clingo,0.0,400,8,
postgres,3.020000000000245e-05,600,9,inf
postgres,3.100000000000325e-05,800,10,102.649006622519
postgres,3.11999999999979e-05,400,11,100.64516129030525
postgres,3.220000000000445e-05,500,12,103.20512820514942
postgres,3.24000000000102e-05,700,13,100.62111801244014
postgres,3.260000000001595e-05,900,14,100.61728395063486
mariadb,3.27999999999884e-05,300,15,100.61349693243051
postgres,3.2799999999999496e-05,200,16,100.00000000003384
postgres,3.319999999998879e-05,100,17,101.21951219508934
postgres,3.3600000000000295e-05,1000,18,101.20481927714349
mariadb,3.419999999999534e-05,200,19,101.78571428569954
mariadb,3.60000000000027e-05,100,20,105.26315789475906
postgres,3.619999999999734e-05,300,21,100.55555555554064
mariadb,7.40000000000074e-05,400,22,204.41988950279784
mariadb,7.620000000000405e-05,500,23,102.97297297296815
mariadb,8.060000000000844e-05,900,24,105.77427821522856
mariadb,8.719999999998729e-05,600,25,108.18858560791335
mariadb,8.780000000000455e-05,700,26,100.68807339451531
mariadb,8.920000000001149e-05,800,27,101.59453302962058
mariadb,9.020000000000694e-05,1000,28,101.12107623317861
xsb,0.00011140000000000019,100,29,123.50332594234104
cockroachdb,0.00011399999999999189,500,30,102.33393177737136
cockroachdb,0.00011940000000000283,700,31,104.7368421052731
cockroachdb,0.00013000000000000788,800,32,108.87772194305259
cockroachdb,0.0001335999999999893,900,33,102.7692307692163
cockroachdb,0.00013360000000000037,200,34,100.0000000000083
cockroachdb,0.0001476000000000033,400,35,110.47904191616982
cockroachdb,0.00016460000000000362,600,36,111.51761517615174
cockroachdb,0.00016499999999999292,100,37,100.2430133657286
cockroachdb,0.0001656000000000213,1000,38,100.36363636365357
cockroachdb,0.00018259999999998834,300,39,110.26570048307056
neo4j,0.00021640000000000548,300,40,118.51040525740378
xsb,0.00022639999999999938,200,41,104.62107208872165
neo4j,0.00023319999999998897,900,42,103.0035335689
neo4j,0.00023320000000000008,500,43,100.00000000000477
neo4j,0.00023459999999999592,100,44,100.60034305317144
neo4j,0.00024279999999999858,700,45,103.49531116794664
neo4j,0.0002442000000000166,600,46,100.57660626030398
neo4j,0.00025479999999998836,800,47,104.34070434069247
neo4j,0.0002564000000000011,200,48,100.62794348509136
neo4j,0.000257200000000013,1000,49,100.31201248050385
neo4j,0.00026420000000000333,400,50,102.7216174183476
xsb,0.00032919999999999965,300,51,124.60257380771974
xsb,0.0004894000000000001,400,52,148.66342648845705
xsb,0.0005970000000000002,500,53,121.98610543522683
xsb,0.0007177999999999998,600,54,120.23450586264647
xsb,0.0007814,700,55,108.86040679855115
xsb,0.0009450000000000003,800,56,120.93678013821349
xsb,0.0010142000000000003,900,57,107.32275132275132
xsb,0.001182,1000,58,116.5450601459278
duckdb,0.001405400000000001,100,59,118.90016920473781
duckdb,0.0016830000000000122,200,60,119.75238366301485
duckdb,0.001924999999999999,300,61,114.37908496731937
clingo,0.0020000000000000018,900,62,103.89610389610404
duckdb,0.0021333999999999962,400,63,106.6699999999997
souffle,0.002432,100,64,113.99643761132485
duckdb,0.0026413999999999826,500,65,108.61019736842033
duckdb,0.00304040000000001,700,66,115.10562580449874
duckdb,0.0031632000000000214,600,67,104.03894224444188
duckdb,0.0032638000000000055,800,68,103.18032372281183
duckdb,0.003374200000000005,900,69,103.38256020589496
duckdb,0.003543000000000007,1000,70,105.00266729891534
clingo,0.0040000000000000036,800,71,112.89867344058695
souffle,0.0044542,200,72,111.35499999999992
souffle,0.0063946,300,73,143.56337838444614
souffle,0.0076264,400,74,119.26312826447314
souffle,0.0092182,500,75,120.87223329487044
souffle,0.0106204,600,76,115.21121260115859
souffle,0.0135494,700,77,127.57899890776241
souffle,0.0138822,800,78,102.45619732239066
souffle,0.0158348,900,79,114.06549394188241
souffle,0.0176056,1000,80,111.18296410437769
