environment,real_time,size,position,factor
clingo,0.0,200,1,
clingo,0.0,900,2,
clingo,0.0,100,3,
clingo,0.0,300,4,
clingo,0.0,800,5,
clingo,0.0,400,6,
xsb,0.0001183509826660154,100,7,inf
xsb,0.00024099349975585915,200,8,203.62610797743775
xsb,0.0003476142883300782,300,9,144.24218440838956
xsb,0.0005191326141357419,400,10,149.34156378600812
xsb,0.0006282329559326173,500,11,121.01589051161945
xsb,0.0007596969604492188,600,12,120.92599620493357
xsb,0.0008302211761474613,700,13,109.28320361536534
duckdb,0.0009744332055561244,100,14,117.37031450797981
xsb,0.0009959697723388678,800,15,102.21016347348836
xsb,0.001078557968139648,900,16,108.29223919184172
duckdb,0.001174491608981043,200,17,108.89462075059964
xsb,0.0012484073638916022,1000,18,106.29342554219579
duckdb,0.0014321999973617495,400,19,114.72216832310403
duckdb,0.0015020583989098669,300,20,104.87769876251943
duckdb,0.0016283166129142045,500,21,108.40567943935939
duckdb,0.0017484418000094592,600,22,107.3772622684397
duckdb,0.0018069500103592873,700,23,103.34630585642093
clingo,0.0019999980926513673,500,24,110.68364266777336
clingo,0.0019999980926513673,600,25,100.0
clingo,0.0019999980926513673,700,26,100.0
clingo,0.0019999980926513673,1000,27,100.0
duckdb,0.0020393670070916413,800,28,101.96844759927161
duckdb,0.002113699808251113,900,29,103.64489573975595
souffle,0.0024357580000000005,100,30,115.23670440294738
duckdb,0.0029596250038594007,1000,31,121.50735023181285
postgres,0.004299074783921242,100,32,145.25741532508937
souffle,0.004481457999999999,200,33,104.24238296018666
souffle,0.006438875999999999,300,34,143.67815117312267
postgres,0.007231041591148823,200,35,112.30285520561081
souffle,0.007658292,400,36,105.90855969317275
postgres,0.008600141399074345,300,37,112.29842632109543
souffle,0.009254796,500,38,107.61213764457543
postgres,0.009604166611097753,400,39,103.77502228139608
souffle,0.010647968,600,40,110.86821409049818
postgres,0.011481500009540468,500,41,107.82808522283752
postgres,0.01253802478313446,600,42,109.20197511401891
souffle,0.013586480000000001,700,43,108.36220405526613
souffle,0.013906739999999997,800,44,102.35719627158761
postgres,0.015111558185890318,700,45,108.66355584335597
postgres,0.015816550026647745,800,46,104.66524915620998
souffle,0.0158729,900,47,100.35627221649041
postgres,0.017153583583422005,900,48,108.06836547462662
postgres,0.017365416802931577,1000,49,101.23492107919827
souffle,0.017641079999999996,1000,50,101.58742632092704
neo4j,0.023183891805820166,100,51,131.41991196582165
mariadb,0.03428559196181595,100,52,147.88540357667117
mariadb,0.04234414182137698,200,53,123.50418761483215
mariadb,0.049149842001497746,300,54,116.07235354734473
neo4j,0.05120957480976358,300,55,104.19072111809244
mariadb,0.058028524997644125,400,56,113.31577192978459
mariadb,0.06393800023943186,500,57,110.18374194765015
neo4j,0.07027492520282977,400,58,109.91104654457085
neo4j,0.07075871659326367,200,59,100.68842675966935
mariadb,0.07109640841372311,600,60,100.47724412866413
mariadb,0.07765394998714328,700,61,109.22344984750936
mariadb,0.08163973358459771,800,62,105.13275061746934
mariadb,0.08459165818057954,900,63,103.61579400908131
neo4j,0.08902861640090123,500,64,105.24514865384246
mariadb,0.10708417482674122,1000,65,120.28062341723331
neo4j,0.10855778340483084,600,66,101.37612171030301
neo4j,0.1224721415899694,700,67,112.81746711173118
neo4j,0.13510115800308994,800,68,110.31174620543655
neo4j,0.1533133502001874,900,69,113.48041161622089
neo4j,0.17271398339653388,1000,70,112.6542360277264
cockroachdb,0.21823229998117313,700,71,126.35473728848798
cockroachdb,0.2308978833956644,500,72,105.8037162306331
cockroachdb,0.23369115041568875,1000,73,101.20974128430524
cockroachdb,0.23390753340208903,600,74,100.09259357319067
cockroachdb,0.23623451660387218,900,75,100.99483037931192
cockroachdb,0.23870805840706452,800,76,101.04707044455323
cockroachdb,0.2495759083656594,300,77,104.55277883416156
cockroachdb,0.2504611916025169,200,78,100.35471502143567
cockroachdb,0.25106865018606184,100,79,100.2425360111314
cockroachdb,0.25797129998682067,400,80,102.74930772744564
