environment,cpu_time,size,position,factor
xsb,0.0001030000000000024,50,1,
mariadb,0.00010640000000000649,400,2,103.3009708737903
mariadb,0.00011059999999998849,200,3,103.94736842103546
mariadb,0.00011305000000000343,50,4,102.21518987343146
mariadb,0.00011725000000001318,100,5,103.71517027864627
mariadb,0.0001229499999999828,350,6,104.86140724944049
mariadb,0.00012310000000001486,300,7,100.12200081336486
mariadb,0.00012439999999996898,250,8,101.05605199021443
mariadb,0.0001256999999999786,150,9,101.04501607717842
postgres,0.00012940000000000174,250,10,102.94351630869033
postgres,0.00013684999999999392,200,11,105.75734157650083
postgres,0.00013945000000004093,350,12,101.89989039097343
postgres,0.00014445000000001817,150,13,103.58551452131644
postgres,0.0001607000000000136,400,14,111.2495673243291
postgres,0.0001629500000000228,300,15,101.40012445551277
postgres,0.000177200000000044,50,16,108.74501380792832
postgres,0.00018280000000001073,100,17,103.16027088034163
cockroachdb,0.00020004999999995166,150,18,109.43654266955139
xsb,0.0002004999999999995,100,19,100.22494376408295
cockroachdb,0.0002090499999999884,300,20,104.26433915211418
cockroachdb,0.0002118999999999871,50,21,101.36331021286718
cockroachdb,0.00021254999999997803,350,22,100.30674846625341
cockroachdb,0.00022220000000000573,250,23,104.54010820984647
cockroachdb,0.00023940000000000072,100,24,107.7407740774053
cockroachdb,0.0002559000000000311,400,25,106.89223057645376
cockroachdb,0.0002750500000000544,200,26,107.48339194998866
xsb,0.000296000000000001,150,27,107.6167969459889
xsb,0.00034,350,28,114.86486486486447
xsb,0.0004375000000000005,200,29,128.67647058823545
xsb,0.0005055000000000025,250,30,115.54285714285757
xsb,0.000583,300,31,115.3313550939658
neo4j,0.0006098499999998008,300,32,104.6054888507377
neo4j,0.0006572000000000244,250,33,107.76420431257507
neo4j,0.0006579999999999364,150,34,100.12172854533048
neo4j,0.0006763499999999922,350,35,102.78875379940085
neo4j,0.0007281999999999567,50,36,107.66614918311008
neo4j,0.0007283499999999332,100,37,100.0205987366076
neo4j,0.0007570000000000077,400,38,103.93354843139659
neo4j,0.0007580999999998728,200,39,100.14531043591349
xsb,0.0008634999999999975,400,40,113.9031790001507
duckdb,0.006667200000000012,100,41,772.113491603941
duckdb,0.006816550000000032,50,42,102.24007079433675
duckdb,0.007514899999999991,150,43,110.24491861718839
duckdb,0.007993750000000022,300,44,106.37200761154548
duckdb,0.008171499999999998,400,45,102.22361219702863
duckdb,0.009068749999999987,200,46,110.98023618674648
duckdb,0.009656650000000017,350,47,106.48270158511406
duckdb,0.011701500000000004,250,48,121.17556295402633
