environment,cpu_time,size,position,factor
postgres,2.5600000000003397e-05,50,1,
postgres,3.0599999999991745e-05,150,2,119.53124999995188
postgres,3.299999999999415e-05,350,3,107.84313725491192
postgres,3.4800000000012596e-05,100,4,105.45454545460234
postgres,3.4800000000012596e-05,200,5,100.0
mariadb,3.6599999999997745e-05,200,6,105.17241379305891
postgres,3.7200000000015e-05,250,7,101.63934426234232
mariadb,3.759999999998209e-05,100,8,101.07526881711539
postgres,3.87999999999944e-05,300,9,103.19148936173639
mariadb,3.9399999999989445e-05,250,10,101.54639175256477
mariadb,3.999999999998449e-05,150,11,101.52284263958175
mariadb,4.0199999999990244e-05,50,12,100.50000000001458
xsb,4.240000000000008e-05,50,13,105.4726368159462
mariadb,4.5399999999995445e-05,300,14,107.07547169810225
postgres,5.259999999999154e-05,400,15,115.8590308369974
mariadb,6.820000000000715e-05,400,16,129.65779467684052
mariadb,6.939999999999724e-05,350,17,101.75953079177415
xsb,7.419999999999993e-05,100,18,106.91642651297246
xsb,0.000106,150,19,142.857142857143
xsb,0.0001388000000000002,200,20,130.94339622641527
xsb,0.00016800000000000002,250,21,121.03746397694508
xsb,0.0002002000000000002,300,22,119.16666666666677
cockroachdb,0.00022440000000000236,50,23,112.08791208791315
cockroachdb,0.00023260000000000503,300,24,103.65418894830773
xsb,0.00023600000000000018,350,25,101.46173688735816
cockroachdb,0.00023799999999999378,350,26,100.84745762711593
cockroachdb,0.00024879999999999347,400,27,104.5378151260504
cockroachdb,0.00025179999999999094,200,28,101.2057877813495
cockroachdb,0.0002543999999999991,250,29,101.03256552820025
cockroachdb,0.000266999999999995,100,30,104.95283018867765
xsb,0.00026760000000000005,400,31,100.22471910112549
cockroachdb,0.000275000000000003,150,32,102.76532137518795
duckdb,0.001108000000000009,50,33,402.9090909090898
duckdb,0.001206000000000007,100,34,108.84476534296003
duckdb,0.001383600000000007,350,35,114.7263681592039
duckdb,0.0014270000000000116,200,36,103.13674472390898
duckdb,0.0014498000000000121,400,37,101.59775753328664
duckdb,0.0015812000000000048,150,38,109.06331907849301
duckdb,0.0017126000000000196,250,39,108.31014419428374
duckdb,0.0017410000000000036,300,40,101.65829732570266
