environment,real_time,size,position,factor
xsb,0.00010287761688232406,50,1,
xsb,0.000200867652893066,100,2,195.24913093858623
xsb,0.00029647350311279254,150,3,147.59643916913956
xsb,0.00043785572052001953,200,4,147.68797748291135
xsb,0.0005059242248535154,250,5,115.54587530628908
xsb,0.0005840063095092776,300,6,115.43355325164949
xsb,0.0007015466690063474,350,7,120.12655644008974
xsb,0.000864505767822266,400,8,123.22854715378088
neo4j,0.0013902254997901764,300,9,160.81159334451002
neo4j,0.0014467984999555483,150,10,104.06933984263058
neo4j,0.0015567005000320933,400,11,107.59622021172413
neo4j,0.001583915000082925,350,12,101.74821682464102
neo4j,0.0016136405001816456,50,13,101.87671056194078
neo4j,0.0016682035000030737,100,14,103.38136033492505
neo4j,0.0016824580002321454,250,15,100.85448209580218
neo4j,0.0018753064998691116,200,16,111.46230691110013
postgres,0.005960401500033186,50,17,317.8361244121532
postgres,0.006968795999910071,100,18,116.91823109351394
postgres,0.007182453999917016,150,19,103.06592415690889
postgres,0.0076337759999205446,200,20,106.28367407586241
duckdb,0.008539751500165949,100,21,111.86798643626474
duckdb,0.008701035500052967,150,22,101.8886263831434
duckdb,0.008840071499889746,300,23,101.59792475086364
duckdb,0.009014255499778301,400,24,101.97039130159442
duckdb,0.00961922250007774,50,25,106.71122535093794
duckdb,0.00988547250017291,350,26,102.76789522326797
duckdb,0.010306324499879338,200,27,104.25727753224814
postgres,0.010347979000016494,250,28,100.40416445394906
postgres,0.011357473999964895,300,29,109.75547978930757
postgres,0.0129458149998527,350,30,113.9849846884326
postgres,0.013335275500026,400,31,103.008389198963
duckdb,0.01386641699991742,250,32,103.98298107819657
mariadb,0.029551867500003937,50,33,213.11826624123543
mariadb,0.03227975500021785,100,34,109.23084641000622
mariadb,0.0421952289998444,150,35,130.71731492249444
mariadb,0.04861622100020213,200,36,115.2173412789901
mariadb,0.05354176149990053,250,37,110.13147545893771
mariadb,0.05854918049999469,300,38,109.3523613340653
mariadb,0.07366851599977053,350,39,125.82330849152912
mariadb,0.07766567999988183,400,40,105.42587826816512
cockroachdb,0.363089915999808,300,41,467.503685025819
cockroachdb,0.3663349250000465,150,42,100.89372049656158
cockroachdb,0.3706072704999315,200,43,101.16624029223651
cockroachdb,0.3711075090000122,50,44,100.13497805895872
cockroachdb,0.3736535515004107,400,45,100.68606601554873
cockroachdb,0.3826287719998618,250,46,102.40201664440522
cockroachdb,0.38534367999955066,350,47,100.70954099596301
cockroachdb,0.3912506444999053,100,48,101.53290810436064
