environment,cpu_time,size,position,factor
postgres,2.03999999999982e-05,50,1,
postgres,2.1800000000005148e-05,100,2,106.8627450980739
postgres,3.219999999999334e-05,350,3,147.7064220182832
postgres,3.3800000000006046e-05,150,4,104.96894409941937
postgres,3.3800000000006046e-05,250,5,100.0
postgres,3.900000000000015e-05,200,6,115.3846153845952
mariadb,3.900000000000015e-05,150,7,100.0
mariadb,3.999999999998449e-05,50,8,102.56410256406241
postgres,4.0399999999995995e-05,400,9,101.00000000002913
mariadb,4.140000000001365e-05,100,10,102.47524752479642
mariadb,4.2199999999992244e-05,300,11,101.93236714970611
mariadb,4.5400000000006545e-05,250,12,107.58293838866086
postgres,4.7200000000002794e-05,300,13,103.96475770924228
mariadb,5.600000000001159e-05,200,14,118.64406779662771
xsb,5.660000000000009e-05,50,15,101.07142857140781
mariadb,7.119999999999349e-05,400,16,125.79505300352187
mariadb,7.300000000000084e-05,350,17,102.528089887651
xsb,0.00010559999999999988,100,18,144.65753424657353
xsb,0.0001469999999999996,150,19,139.2045454545452
xsb,0.00018959999999999943,200,20,128.97959183673467
cockroachdb,0.00018999999999999017,250,21,100.21097046413014
cockroachdb,0.00022820000000001173,100,22,120.10526315790713
cockroachdb,0.00023079999999999767,50,23,101.1393514460937
xsb,0.0002341999999999996,250,24,101.47313691507884
cockroachdb,0.0002489999999999992,150,25,106.31938514090507
cockroachdb,0.00025639999999997886,400,26,102.97188755019265
cockroachdb,0.0002635999999999972,300,27,102.80811232450036
cockroachdb,0.0002650000000000041,350,28,100.53110773900111
cockroachdb,0.0002755999999999981,200,29,103.99999999999767
xsb,0.00029700000000000055,300,30,107.76487663280211
xsb,0.0003436000000000002,350,31,115.69023569023555
xsb,0.00040120000000000043,400,32,116.76367869615838
duckdb,0.003517999999999999,50,33,876.8693918245253
duckdb,0.0043744000000000005,100,34,124.34337691870385
duckdb,0.004716999999999994,200,35,107.83193123628368
duckdb,0.004993999999999976,250,36,105.8723765104936
duckdb,0.005438399999999999,150,37,108.89867841409742
duckdb,0.006453000000000009,400,38,118.65622241835854
duckdb,0.006845999999999996,350,39,106.09019060901885
duckdb,0.007860800000000001,300,40,114.82325445515637
