environment,real_time,size,position,factor
xsb,6.14166259765625e-05,50,1,
xsb,0.0001140594482421876,100,2,185.71428571428586
xsb,0.0001554489135742188,150,3,136.28762541806012
xsb,0.00020461082458496098,200,4,131.62576687116564
xsb,0.0002525806427001956,250,5,123.44441855045456
xsb,0.00031423568725585943,300,6,124.4100434208041
xsb,0.00036120414733886724,350,7,114.94688922610014
xsb,0.00042858123779296873,400,8,118.65346534653463
duckdb,0.002289391797967255,50,9,534.1791931342484
duckdb,0.0026319998200051487,100,10,114.96502356399172
duckdb,0.002754158200696111,150,11,104.64127617952204
postgres,0.0028875498101115227,50,12,104.84328058503311
duckdb,0.003078308398835361,200,13,106.60624409164636
duckdb,0.0036352997994981706,250,14,118.09407403343799
postgres,0.003970558382570743,100,15,109.22230906839796
duckdb,0.004064074996858835,300,16,102.35525095660587
duckdb,0.0041343752178363505,350,17,101.7297963505066
postgres,0.004553075006697327,150,18,110.1272808296315
duckdb,0.004853825003374368,400,19,106.60542592060649
postgres,0.006076816597487778,200,20,125.19645008345354
postgres,0.00654889983125031,250,21,107.76859439789077
postgres,0.006870249984785914,300,22,104.90693340585501
postgres,0.0076740916119888425,350,23,111.7003257375354
postgres,0.008698158396873623,400,24,113.34446911325549
mariadb,0.030624641594476996,50,25,352.08190282536594
mariadb,0.03514750036410987,100,26,114.76869127000184
mariadb,0.040843549999408424,150,27,116.20613009827281
mariadb,0.044003616599366066,200,28,107.73700278257745
mariadb,0.0472389833885245,250,29,107.3525019968587
mariadb,0.05097829980077222,300,30,107.91574277010392
mariadb,0.05612847501179204,350,31,110.1026813980599
mariadb,0.059316800406668334,400,32,105.68040623624009
cockroachdb,0.2133175665861927,300,33,359.62419605190263
cockroachdb,0.21730241680052131,350,34,101.86803659825105
cockroachdb,0.2232035918161273,400,35,102.71565088989468
cockroachdb,0.2307457082089968,250,36,103.37903002881899
cockroachdb,0.230753808200825,50,37,100.00351035427313
cockroachdb,0.2352708747959696,200,38,101.95752634826003
cockroachdb,0.2392637079814449,150,39,101.69712174910642
cockroachdb,0.23976916639367118,100,40,100.21125577986341
