environment,cpu_time,size,position,factor
clingo,0.0,600,1,
clingo,0.0,300,2,
clingo,0.0,100,3,
clingo,0.0,400,4,
clingo,0.0,200,5,
clingo,0.0,900,6,
clingo,0.0,700,7,
clingo,0.0,500,8,
postgres,2.7999999999994697e-05,900,9,inf
postgres,3.16000000000094e-05,1000,10,112.85714285719781
mariadb,3.2600000000004845e-05,100,11,103.16455696200994
postgres,3.2800000000010596e-05,700,12,100.6134969325329
mariadb,3.359999999997809e-05,400,13,102.43902439014401
postgres,3.4800000000001496e-05,400,14,103.57142857150056
postgres,3.60000000000027e-05,800,15,103.44827586207226
mariadb,3.6800000000003497e-05,300,16,102.22222222222427
postgres,3.72000000000039e-05,200,17,101.0869565217401
mariadb,3.799999999999359e-05,200,18,102.15053763438067
postgres,3.8399999999993994e-05,600,19,101.05263157894862
postgres,3.899999999998904e-05,100,20,101.56249999998734
postgres,4.07999999999964e-05,500,21,104.61538461540478
postgres,4.099999999997994e-05,300,22,100.4901960783911
mariadb,6.519999999999859e-05,500,23,159.0243902439768
mariadb,7.519999999998639e-05,1000,24,115.33742331286506
xsb,7.740000000000004e-05,100,25,102.9255319149123
mariadb,8.140000000000924e-05,700,26,105.16795865634263
mariadb,8.399999999999518e-05,600,27,103.19410319408556
mariadb,8.420000000000094e-05,900,28,100.2380952381021
mariadb,8.779999999998233e-05,800,29,104.27553444178308
cockroachdb,0.00012320000000001218,800,30,140.31890660596466
cockroachdb,0.00012659999999997673,200,31,102.75974025971122
cockroachdb,0.00012820000000000054,1000,32,101.26382306478999
cockroachdb,0.0001304000000000083,100,33,101.71606864275175
cockroachdb,0.0001360000000000028,300,34,104.29447852760288
xsb,0.0001361999999999994,200,35,100.14705882352692
cockroachdb,0.00014259999999999273,400,36,104.69897209984829
cockroachdb,0.00014740000000000862,600,37,103.36605890604218
cockroachdb,0.0001495999999999831,900,38,101.49253731341543
cockroachdb,0.00015059999999998962,500,39,100.6684491978654
cockroachdb,0.00015660000000000673,700,40,103.98406374503155
xsb,0.00019579999999999958,300,41,125.0319284801987
xsb,0.00025639999999999984,400,42,130.9499489274772
xsb,0.00031680000000000044,500,43,123.55694227769136
xsb,0.00037339999999999975,600,44,117.86616161616136
xsb,0.00041859999999999977,700,45,112.10498125334763
xsb,0.00048659999999999996,800,46,116.24462494027716
xsb,0.0005402000000000004,900,47,111.01520756267993
xsb,0.0005911999999999998,1000,48,109.44094779711206
clingo,0.0020000000000000018,800,49,338.2949932341005
souffle,0.0022612,100,50,113.05999999999989
duckdb,0.0029400000000000203,100,51,130.01945869449938
duckdb,0.003518599999999994,300,52,119.68027210884252
duckdb,0.0037840000000000096,500,53,107.54277269368544
souffle,0.003946,200,54,104.28118393234647
duckdb,0.003949999999999998,400,55,100.10136847440441
clingo,0.0040000000000000036,1000,56,101.26582278481027
duckdb,0.004162599999999994,200,57,104.06499999999974
duckdb,0.004225599999999985,700,58,101.5134771537018
duckdb,0.004531600000000002,600,59,107.24157516092431
duckdb,0.004583400000000004,800,60,101.14308412039902
souffle,0.004704,300,61,102.63123445477147
duckdb,0.004803199999999996,1000,62,102.1088435374149
duckdb,0.005121399999999998,900,63,106.62475016655569
souffle,0.007535,400,64,147.1277385090015
souffle,0.0088392,500,65,117.30856005308561
souffle,0.009482599999999999,600,66,107.27893927052222
souffle,0.0115186,700,67,121.4709046042225
souffle,0.012756599999999998,800,68,110.7478339381522
souffle,0.014303399999999999,900,69,112.12548798269133
souffle,0.0159078,1000,70,111.2169134611351
