environment,real_time,size,position,factor
clingo,0.0,900,1,
clingo,0.0,700,2,
clingo,0.0,300,3,
clingo,0.0,100,4,
clingo,0.0,600,5,
clingo,0.0,1000,6,
clingo,0.0,500,7,
clingo,0.0,800,8,
clingo,0.0,200,9,
clingo,0.0,400,10,
xsb,8.654594421386715e-05,100,11,inf
xsb,0.000150012969970703,200,12,173.3333333333333
xsb,0.000214242935180664,300,13,142.81627463445653
xsb,0.0002808094024658204,400,14,131.07055419541518
xsb,0.0003506660461425782,500,15,124.8768891152997
xsb,0.0004116058349609376,600,16,117.37829752515636
xsb,0.0004653453826904298,700,17,113.05607043558852
xsb,0.0005428314208984378,800,18,116.65129623936883
xsb,0.0005931854248046873,900,19,109.27617709065345
xsb,0.000661182403564453,1000,20,111.46302250803859
duckdb,0.0020794668118469415,100,21,314.5072828067531
souffle,0.002265466,100,22,108.9445615142017
duckdb,0.0024073002045042814,300,23,106.26070770888998
duckdb,0.002534124790690839,200,24,105.26833279660165
duckdb,0.002560908405575901,400,25,101.05691775651509
duckdb,0.002588441804982722,500,26,101.07514190460196
duckdb,0.0026979835936799647,700,27,104.23195872073987
duckdb,0.003012274799402803,800,28,111.64911478554083
duckdb,0.003112666599918157,1000,29,103.3327570424603
duckdb,0.0031453585950657727,600,30,101.05028900777472
duckdb,0.003231791581492871,900,31,102.74795333551756
souffle,0.003961078000000001,200,32,122.56601021809234
souffle,0.004717374,300,33,119.09318624879386
postgres,0.005529749789275229,100,34,117.22093243561416
postgres,0.007285366789437831,200,35,131.74857935828425
souffle,0.007570683999999999,400,36,103.9163053667499
postgres,0.008828766806982458,300,37,116.61782220711443
souffle,0.008884669999999999,500,38,100.63319367517249
souffle,0.009511578000000001,600,39,107.05606398436859
souffle,0.01154834,700,40,121.41350257549273
souffle,0.0127747,800,41,110.61936174376577
postgres,0.013766874989960343,500,42,107.76671851362727
souffle,0.01433518,900,43,104.1280610919624
postgres,0.014882333611603826,400,44,103.81685902516624
postgres,0.01501210859278217,600,45,100.87200693496858
souffle,0.01593032,1000,46,106.11647192359979
postgres,0.019044108397793025,800,47,119.54630162980419
postgres,0.0203075168072246,900,48,106.63411687773205
postgres,0.021237900003325195,1000,49,104.58147199843557
postgres,0.02228396701393649,700,50,104.92547290667869
mariadb,0.035901300213299694,100,51,161.10820928269578
mariadb,0.04123872523196041,200,52,114.86694071509828
mariadb,0.0487557667773217,300,53,118.22811326751561
mariadb,0.055794016388244924,400,54,114.4357274557253
mariadb,0.06619588332250714,500,55,118.64333777636729
mariadb,0.06999402502551674,600,56,105.73773097717422
mariadb,0.07423007499892265,700,57,106.05201654264293
mariadb,0.08021963362116366,800,58,108.06891091289879
mariadb,0.08245812482200562,900,59,102.7904530347436
mariadb,0.0875706415856257,1000,60,106.20013706915599
cockroachdb,0.20864677500212564,200,61,238.26110123689443
cockroachdb,0.2231767082004808,100,62,106.96389062242018
cockroachdb,0.23385573319392278,400,63,104.78500874018133
cockroachdb,0.23630594979040326,1000,64,101.04774707167374
cockroachdb,0.23697250839322806,300,65,100.28207440541215
cockroachdb,0.23830357518745587,500,66,100.56169671463284
cockroachdb,0.23869238322367892,600,67,100.1631566106036
cockroachdb,0.24829315820243208,700,68,104.02223768060344
cockroachdb,0.25893469180446116,800,69,104.28587468099025
cockroachdb,0.2646115332026966,900,70,102.19238347657269
